image_id,room,class_id,class_name,confidence,is_indoor_relevant,x1,y1,x2,y2,center_x,center_y,area_ratio
study/evidence-pipeline-r01.png,study,58,potted plant,0.541906,True,0.240679,0.564271,0.322879,0.710418,0.281779,0.637345,0.012013
study/evidence-pipeline-r01.png,study,73,book,0.390668,True,0.674785,0.553561,0.714236,0.711477,0.694511,0.632519,0.00623
study/evidence-pipeline-r01.png,study,73,book,0.387541,True,0.6504,0.547364,0.689684,0.708417,0.670042,0.627891,0.006327
study/evidence-pipeline-r01.png,study,73,book,0.289191,True,0.672275,0.551507,0.701284,0.708965,0.686779,0.630236,0.004568
study/evidence-pipeline-r02.png,study,63,laptop,0.873276,True,0.377764,0.547512,0.537417,0.743129,0.45759,0.64532,0.031231
study/evidence-pipeline-r02.png,study,56,chair,0.817842,True,0.246117,0.836432,0.700757,0.993094,0.473437,0.914763,0.071225
study/evidence-pipeline-r02.png,study,58,potted plant,0.778599,True,0.70808,0.528273,0.999281,0.988342,0.853681,0.758308,0.133972
study/evidence-pipeline-r02.png,study,58,potted plant,0.611307,True,0.240235,0.563145,0.323343,0.710238,0.281789,0.636691,0.012225
study/evidence-pipeline-r02.png,study,73,book,0.362986,True,0.650421,0.545359,0.688798,0.703628,0.669609,0.624494,0.006074
study/evidence-pipeline-r02.png,study,73,book,0.350541,True,0.674413,0.551544,0.713886,0.711128,0.694149,0.631336,0.006299
study/evidence-pipeline-r02.png,study,45,bowl,0.344742,False,0.168742,0.676878,0.2606,0.725887,0.214671,0.701383,0.004502
study/evidence-pipeline-r02.png,study,73,book,0.264507,True,0.672209,0.550053,0.70145,0.707937,0.686829,0.628995,0.004617
